JOB_ID,JOB_URL,EMPLOYMENT_TYPE,ADRESSE,COMPENSATION,PUBLICATION_DATE,JOB_TITLE
6776429716,https://boston.craigslist.org/nos/egr/d/controls-engineer/6776429716.html,full-time, (Newburyport),Commensurate with experience,Dec 19,Controls Engineer
6772752988,https://boston.craigslist.org/gbs/egr/d/facilities-engineer-ii-or-iii/6772752988.html,full-time,-,depends on experience,Dec 14,Facilities Engineer II or III
6772816280,https://boston.craigslist.org/gbs/egr/d/sr-mechanical-design-engineer/6772816280.html,full-time, (Hyde Park),with experience,Dec 14,Sr. Mechanical Design Engineer
6775676336,https://boston.craigslist.org/gbs/egr/d/architectural-designer-kitchen-and/6775676336.html,full-time, (boston and surrounding areas),25-35 per hour based on experience,Dec 18,architectural designer kitchen and bathroom design
6775484097,https://boston.craigslist.org/gbs/egr/d/project-estimator/6775484097.html,full-time," (Norwood, MA)",Commensurate With Experience,Dec 18,Project Estimator
6775831092,https://boston.craigslist.org/gbs/egr/d/sales-engineer/6775831092.html,full-time, (Waltham),US$50000 - US$80000 per year,Dec 18,Sales Engineer
6776164258,https://boston.craigslist.org/gbs/egr/d/bio-process-associate-first-shift/6776164258.html,contract," (Devens, MA)",N/A,Dec 19,Bio Process Associate - First Shift
6775485406,https://boston.craigslist.org/sob/egr/d/solder/6775485406.html,full-time, (Norwood),$18 to $25 per Hour,Dec 18,Solder
6775511929,https://boston.craigslist.org/sob/egr/d/survey-civil-cad-technician/6775511929.html,full-time, (Dedham),"up to $67,000 depending on experience",Dec 18,Survey/Civil CAD Technician
6772731328,https://boston.craigslist.org/nos/egr/d/architectural-designer/6772731328.html,full-time, (Marblehead),To be determined,Dec 14,Architectural Designer
6773010330,https://boston.craigslist.org/gbs/egr/d/iso-compliance-manager-cnc-machine-shop/6773010330.html,full-time," (Watertown, MA)",Dependent on experience,Dec 14,ISO Compliance Manager - CNC Machine Shop
6774575938,https://boston.craigslist.org/gbs/egr/d/part-time-full-time-experienced-civil/6774575938.html,part-time," (Framingham, MA)",Compensation based on experience.,Dec 17,Part - Time / Full - Time Experienced Civil Engineer Project Manager
6774577573,https://boston.craigslist.org/gbs/egr/d/project-surveyor/6774577573.html,full-time, (Framingham),Depends upon experience,Dec 17,Project Surveyor
6774858163,https://boston.craigslist.org/gbs/egr/d/project-manager-to-85k/6774858163.html,full-time, (Boston: Boston/Cambridge/Brookline),-,Dec 17,Project Manager to 85k
6770930622,https://boston.craigslist.org/nos/egr/d/estimator-project-manager-fine-gardener/6770930622.html,full-time,-,COMPENSATION IS BASED UPON EXPERIENCE,Dec 12,ESTIMATOR/ PROJECT MANAGER | FINE GARDENER
6774931735,https://boston.craigslist.org/gbs/egr/d/quality-engineer-qc-inspector-1099/6774931735.html,contract," (Boston, MA)",Hourly rates start at $25 per hour depending on experience plus millage compensation as per IRS rate.,Dec 17,Quality Engineer - QC Inspector (1099)
6753706105,https://boston.craigslist.org/nos/egr/d/project-civil-transportation-engineer/6753706105.html,full-time, (Burlington),commensurate with experience,Nov 20,PROJECT CIVIL & TRANSPORTATION ENGINEER
6760105198,https://newlondon.craigslist.org/egr/d/architectural-design-associate/6760105198.html,part-time,-,depending on experience,Nov 28,architectural design associate
6774617099,https://newlondon.craigslist.org/egr/d/pm-shift-engineer/6774617099.html,full-time,-,16.50,Dec 17,PM Shift Engineer
6761321767,https://newlondon.craigslist.org/egr/d/entry-level-position-for-surveying-co/6761321767.html,part-time,-,Salary is Negotionable,Nov 30,Entry Level Position for Surveying  Co.
6758975930,https://hartford.craigslist.org/egr/d/licensed-engineer/6758975930.html,contract,-,Competitive Project Based,Nov 27,Licensed Engineer
6760557920,https://newlondon.craigslist.org/egr/d/experienced-auto-cad-drafting-position/6760557920.html,full-time,-,Salary is negotiable based upon experience.,Nov 29,EXPERIENCED AUTO CAD DRAFTING POSITION
6771578675,https://capecod.craigslist.org/egr/d/senior-software-engineer/6771578675.html,full-time,-,salary,Dec 13,Senior Software Engineer
6753507494,https://capecod.craigslist.org/egr/d/structural-engineer/6753507494.html,contract,-,hourly rate,Nov 20,Structural Engineer
6758891030,https://providence.craigslist.org/egr/d/detailer-draftsperson/6758891030.html,part-time,-,Compensation will be based on experience,Nov 27,Detailer/Draftsperson
